,Title,Year,Certificate,Runtime,Genre,IMDB,Metascore,Director,Votes,Gross
53,Spider-Man: Into the Spider-Verse,2018.0,P13,117,"Animation, Action, Adventure",8.4,87.0,Bob Persichetti,611900.0,190.24
54,Wreck-It Ralph,2012.0,U,101,"Animation, Adventure, Comedy",7.7,72.0,Rich Moore,441123.0,189.42
55,The Croods,2013.0,P13,98,"Animation, Action, Adventure",7.2,55.0,Kirk DeMicco,224289.0,187.17
56,Snow White and the Seven Dwarfs,1937.0,U,83,"Animation, Adventure, Family",7.6,96.0,William Cottrell,207602.0,184.93
57,The Polar Express,2004.0,U,100,"Animation, Adventure, Comedy",6.6,61.0,Robert Zemeckis,224108.0,183.37
58,The Simpsons Movie,2007.0,P13,87,"Animation, Adventure, Comedy",7.3,80.0,David Silverman,340651.0,183.14
59,Madagascar: Escape 2 Africa,2008.0,U,89,"Animation, Adventure, Comedy",6.6,61.0,Eric Darnell,238250.0,180.01
60,Home,2015.0,PG,94,"Animation, Adventure, Comedy",6.5,55.0,Tim Johnson,107795.0,177.4
61,How to Train Your Dragon 2,2014.0,P13,102,"Animation, Action, Adventure",7.8,77.0,Dean DeBlois,350585.0,177.0
62,Ice Age,2002.0,U,81,"Animation, Adventure, Comedy",7.5,61.0,Chris Wedge,499799.0,176.39
63,The Lego Batman Movie,2017.0,U,104,"Animation, Action, Adventure",7.3,75.0,Chris McKay,163539.0,175.75
64,The Boss Baby,2017.0,U,97,"Animation, Adventure, Comedy",6.3,50.0,Tom McGrath,134903.0,175.0
65,Tarzan,1999.0,U,88,"Animation, Adventure, Comedy",7.3,79.0,Chris Buck,237264.0,171.09
66,Hotel Transylvania 2,2015.0,P13,89,"Animation, Adventure, Comedy",6.6,44.0,Genndy Tartakovsky,135601.0,169.7
67,Puss in Boots: The Last Wish,2022.0,PG,102,"Animation, Adventure, Comedy",7.9,73.0,Joel Crawford,143329.0,168.46
68,Hotel Transylvania 3: Summer Vacation,2018.0,P13,97,"Animation, Adventure, Comedy",6.3,54.0,Genndy Tartakovsky,80000.0,167.51
69,Kung Fu Panda 2,2011.0,U,90,"Animation, Action, Adventure",7.2,67.0,Jennifer Yuh Nelson,301657.0,165.25
70,The SpongeBob Movie: Sponge Out of Water,2015.0,P13,92,"Animation, Adventure, Comedy",6.0,62.0,Paul Tibbitt,58706.0,162.99
71,A Bug's Life,1998.0,,95,"Animation, Adventure, Comedy",7.2,77.0,John Lasseter,304085.0,162.8
72,Sing 2,2021.0,PG,110,"Animation, Adventure, Comedy",7.4,49.0,Garth Jennings,77162.0,162.79
73,Ice Age: Continental Drift,2012.0,U,88,"Animation, Adventure, Comedy",6.5,49.0,Steve Martino,217477.0,161.32
74,Shark Tale,2004.0,U,90,"Animation, Adventure, Comedy",6.0,48.0,Bibo Bergeron,191966.0,160.86
75,How to Train Your Dragon: The Hidden World,2019.0,P13,104,"Animation, Action, Adventure",7.4,71.0,Dean DeBlois,140463.0,160.8
76,The Secret Life of Pets 2,2019.0,U,86,"Animation, Adventure, Comedy",6.4,55.0,Chris Renaud,65991.0,158.87
77,Who Framed Roger Rabbit,1988.0,U,104,"Animation, Adventure, Comedy",7.7,83.0,Robert Zemeckis,209622.0,156.45
78,Over the Hedge,2006.0,U,83,"Animation, Adventure, Comedy",6.7,67.0,Tim Johnson,183828.0,155.02
79,Horton Hears a Who!,2008.0,U,86,"Animation, Adventure, Comedy",6.8,71.0,Jimmy Hayward,146325.0,154.53
80,Trolls,2016.0,P13,92,"Animation, Adventure, Comedy",6.4,55.0,Mike Mitchell,86735.0,153.71
81,Cars 3,2017.0,U,102,"Animation, Adventure, Comedy",6.7,59.0,Brian Fee,111083.0,152.9
82,Puss in Boots,2011.0,U,90,"Animation, Adventure, Comedy",6.6,65.0,Chris Miller,183816.0,149.26
83,Megamind,2010.0,U,95,"Animation, Action, Comedy",7.3,63.0,Tom McGrath,279862.0,148.42
84,Hotel Transylvania,2012.0,U,91,"Animation, Adventure, Comedy",7.0,47.0,Genndy Tartakovsky,268384.0,148.31
85,Lilo & Stitch,2002.0,U,85,"Animation, Adventure, Comedy",7.3,74.0,Dean DeBlois,202032.0,145.79
86,One Hundred and One Dalmatians,1961.0,U,79,"Animation, Adventure, Comedy",7.3,83.0,Clyde Geronimi,175405.0,144.88
87,Rio,2011.0,U,96,"Animation, Adventure, Comedy",6.9,63.0,Carlos Saldanha,238916.0,143.62
88,Kung Fu Panda 3,2016.0,U,95,"Animation, Action, Adventure",7.1,66.0,Alessandro Carloni,172620.0,143.53
89,The Smurfs,2011.0,U,103,"Animation, Adventure, Comedy",5.4,30.0,Raja Gosnell,93861.0,142.61
90,The Jungle Book,1967.0,U,78,"Animation, Adventure, Comedy",7.6,65.0,Wolfgang Reitherman,191569.0,141.84
91,Pocahontas,1995.0,G,81,"Animation, Adventure, Drama",6.7,58.0,Mike Gabriel,195788.0,141.6
92,A Christmas Carol,2009.0,U,96,"Animation, Adventure, Comedy",6.8,55.0,Robert Zemeckis,123050.0,137.86
93,Dinosaur,2000.0,U,82,"Animation, Adventure, Drama",6.4,56.0,Eric Leighton,64560.0,137.75
94,Chicken Little,2005.0,U,81,"Animation, Adventure, Comedy",5.7,48.0,Mark Dindal,97258.0,135.39
95,Alvin and the Chipmunks: Chipwrecked,2011.0,U,87,"Animation, Adventure, Comedy",4.3,24.0,Mike Mitchell,37739.0,133.11
96,Rio 2,2014.0,U,101,"Animation, Adventure, Comedy",6.3,49.0,Carlos Saldanha,96058.0,131.54
97,The Peanuts Movie,2015.0,U,88,"Animation, Adventure, Comedy",7.0,67.0,Steve Martino,48164.0,130.18
98,Robots,2005.0,U,91,"Animation, Adventure, Comedy",6.4,64.0,Chris Wedge,155576.0,128.2
99,Enchanted,2007.0,U,107,"Animation, Adventure, Comedy",7.1,75.0,Kevin Lima,211584.0,127.81
100,Bee Movie,2007.0,U,91,"Animation, Adventure, Comedy",6.1,54.0,Simon J. Smith,171777.0,126.63
101,Cloudy with a Chance of Meatballs,2009.0,U,90,"Animation, Adventure, Comedy",6.9,66.0,Phil Lord,246504.0,124.87
102,Rango,2011.0,U,107,"Animation, Action, Adventure",7.2,75.0,Gore Verbinski,281386.0,123.48
103,The Good Dinosaur,2015.0,P13,93,"Animation, Adventure, Comedy",6.7,66.0,Peter Sohn,122054.0,123.09
104,Mulan,1998.0,,87,"Animation, Adventure, Comedy",7.6,71.0,Tony Bancroft,302265.0,120.62
105,Cloudy with a Chance of Meatballs 2,2013.0,PG,95,"Animation, Adventure, Comedy",6.3,59.0,Cody Cameron,109825.0,119.79
106,G-Force,2009.0,U,88,"Animation, Action, Adventure",5.1,41.0,Hoyt Yeatman,48539.0,119.44
107,Lightyear,2022.0,(Banned),105,"Animation, Action, Adventure",6.1,60.0,Angus MacLane,116230.0,118.31
108,Bolt,2008.0,U,96,"Animation, Adventure, Comedy",6.8,67.0,Byron Howard,220776.0,114.05
109,The Little Mermaid,1989.0,U,83,"Animation, Adventure, Family",7.6,88.0,Ron Clements,279943.0,111.54
110,Mr. Peabody & Sherman,2014.0,U,92,"Animation, Adventure, Comedy",6.8,59.0,Rob Minkoff,74845.0,111.51
111,Hop,2011.0,U,95,"Animation, Adventure, Comedy",5.4,41.0,Tim Hill,35991.0,108.09
112,Epic,2013.0,P13,102,"Animation, Action, Adventure",6.6,52.0,Chris Wedge,107962.0,107.52
113,Angry Birds,2016.0,P13,97,"Animation, Action, Adventure",6.3,43.0,Clay Kaytis,98979.0,107.51
114,Chicken Run,2000.0,U,84,"Animation, Adventure, Comedy",7.1,88.0,Peter Lord,200660.0,106.83
