,Title,Year,Certificate,Runtime,Genre,IMDB,Metascore,Director,Votes,Gross
228,The AristoCats,1970.0,U,78,"Animation, Adventure, Comedy",7.1,66.0,Wolfgang Reitherman,109949.0,37.68
229,The Wild,2006.0,U,95,"Animation, Adventure, Comedy",5.2,47.0,Steve 'Spaz' Williams,26932.0,37.38
230,Recess: School's Out,2001.0,G,82,"Animation, Adventure, Comedy",6.5,43.0,Chuck Sheetz,11256.0,36.7
231,Walking with Dinosaurs 3D,2013.0,PG,87,"Animation, Adventure, Comedy",5.2,37.0,Barry Cook,11693.0,36.08
232,A Goofy Movie,1995.0,,78,"Animation, Adventure, Comedy",6.9,53.0,Kevin Lima,59368.0,35.35
233,Frankenweenie,2012.0,U,87,"Animation, Comedy, Drama",6.9,74.0,Tim Burton,112572.0,35.29
234,Star Wars: The Clone Wars,2008.0,U,98,"Animation, Action, Adventure",5.9,35.0,Dave Filoni,69747.0,35.16
235,Gekijouban Jujutsu Kaisen 0,2021.0,PG-13,105,"Animation, Action, Fantasy",7.8,71.0,Seong-Hu Park,25663.0,34.54
236,Final Fantasy: The Spirits Within,2001.0,U,106,"Animation, Action, Adventure",6.4,49.0,Hironobu Sakaguchi,83231.0,32.13
237,Robin Hood,1973.0,,83,"Animation, Adventure, Comedy",7.5,57.0,Wolfgang Reitherman,133549.0,32.06
238,Isle of Dogs,2018.0,P13,101,"Animation, Adventure, Comedy",7.8,82.0,Wes Anderson,180742.0,32.02
239,9,2009.0,U,79,"Animation, Action, Adventure",7.0,60.0,Shane Acker,143877.0,31.74
240,The Pirates! In an Adventure with Scientists!,2012.0,U,88,"Animation, Adventure, Comedy",6.7,73.0,Peter Lord,50153.0,31.05
241,Doragon bôru chô: Burorî,2018.0,P13,100,"Animation, Action, Adventure",7.7,59.0,Tatsuya Nagamine,29828.0,30.71
242,Space Chimps,2008.0,U,81,"Animation, Adventure, Comedy",4.5,36.0,Kirk DeMicco,12172.0,30.11
243,Teen Titans Go! To the Movies,2018.0,U,84,"Animation, Action, Adventure",6.7,69.0,Aaron Horvath,20767.0,29.79
244,James and the Giant Peach,1996.0,PG,79,"Animation, Adventure, Family",6.7,78.0,Henry Selick,71355.0,28.93
245,Garfield: A Tale of Two Kitties,2006.0,U,82,"Animation, Adventure, Comedy",5.0,37.0,Tim Hill,45345.0,28.43
246,The Nut Job 2: Nutty by Nature,2017.0,U,91,"Animation, Adventure, Comedy",5.5,36.0,Cal Brunker,7018.0,28.37
247,The Ant Bully,2006.0,U,88,"Animation, Adventure, Comedy",5.8,59.0,John A. Davis,40824.0,28.14
248,The Rescuers Down Under,1990.0,,77,"Animation, Adventure, Comedy",6.8,70.0,Hendel Butoy,45366.0,27.93
249,All Dogs Go to Heaven,1989.0,U,84,"Animation, Adventure, Comedy",6.7,50.0,Don Bluth,44243.0,27.1
250,Winnie the Pooh,2011.0,U,63,"Animation, Adventure, Comedy",7.1,74.0,Stephen J. Anderson,26986.0,26.69
251,Sinbad: Legend of the Seven Seas,2003.0,PG,88,"Animation, Adventure, Comedy",6.7,48.0,Patrick Gilmore,57346.0,26.48
252,The Adventures of Rocky & Bullwinkle,2000.0,PG,92,"Animation, Adventure, Comedy",4.3,36.0,Des McAnuff,20828.0,26.0
253,Jonah: A VeggieTales Movie,2002.0,,82,"Animation, Adventure, Comedy",6.4,58.0,Phil Vischer,4410.0,25.58
254,Alpha and Omega,2010.0,U,90,"Animation, Adventure, Comedy",5.1,36.0,Anthony Bell,14883.0,25.08
255,Fritz the Cat,1972.0,(Banned),78,"Animation, Comedy, Drama",6.2,54.0,Ralph Bakshi,13760.0,25.0
256,Ballerina,2016.0,PG,89,"Animation, Adventure, Comedy",6.7,48.0,Eric Summer,23514.0,24.7
257,FernGully: The Last Rainforest,1992.0,U,76,"Animation, Adventure, Family",6.5,67.0,Bill Kroyer,32430.0,24.65
258,Eight Crazy Nights,2002.0,U,76,"Animation, Comedy, Musical",5.3,23.0,Seth Kearsley,24166.0,23.44
259,The Iron Giant,1999.0,U,86,"Animation, Action, Adventure",8.1,85.0,Brad Bird,212665.0,23.16
260,Piglet's Big Movie,2003.0,,75,"Animation, Adventure, Comedy",6.1,62.0,Francis Glebas,8349.0,23.1
261,The Care Bears Movie,1985.0,U,77,"Animation, Adventure, Comedy",5.6,46.0,Arna Selznick,5697.0,22.93
262,Titan A.E.,2000.0,PG,94,"Animation, Action, Adventure",6.6,48.0,Don Bluth,62771.0,22.75
263,Quest for Camelot,1998.0,,86,"Animation, Adventure, Comedy",6.2,50.0,Frederik Du Chau,17426.0,22.72
264,The Sword in the Stone,1963.0,,79,"Animation, Adventure, Comedy",7.1,61.0,Wolfgang Reitherman,102718.0,22.18
265,An American Tail: Fievel Goes West,1991.0,,75,"Animation, Adventure, Family",6.5,,Phil Nibbelink,27436.0,22.17
266,My Little Pony: The Movie,2017.0,U,99,"Animation, Adventure, Comedy",6.1,39.0,Jayson Thiessen,7533.0,21.89
267,Mars Needs Moms,2011.0,U,88,"Animation, Action, Adventure",5.4,49.0,Simon Wells,23357.0,21.38
268,The Black Cauldron,1985.0,U,80,"Animation, Action, Adventure",6.3,59.0,Ted Berman,38722.0,21.29
269,Fantastic Mr. Fox,2009.0,U,87,"Animation, Adventure, Comedy",7.9,83.0,Wes Anderson,251771.0,21.0
270,Looney Tunes: Back in Action,2003.0,U,93,"Animation, Adventure, Comedy",5.8,64.0,Joe Dante,39273.0,20.99
271,UglyDolls,2019.0,U,87,"Animation, Adventure, Comedy",5.1,39.0,Kelly Asbury,7472.0,20.15
272,Middle School: The Worst Years of My Life,2016.0,PG,92,"Animation, Comedy, Family",6.1,51.0,Steve Carr,9612.0,19.99
273,Yu-Gi-Oh! The Movie,2004.0,PG,100,"Animation, Action, Adventure",4.9,15.0,Hatsuki Tsuji,8865.0,19.76
274,Astro Boy,2009.0,P13,94,"Animation, Action, Adventure",6.2,53.0,David Bowers,38525.0,19.55
275,Igor,2008.0,U,87,"Animation, Comedy, Family",5.9,40.0,Tony Leondis,23946.0,19.53
276,Valiant,2005.0,U,76,"Animation, Adventure, Comedy",5.5,45.0,Gary Chapman,23792.0,19.48
277,Doug's 1st Movie,1999.0,,77,"Animation, Adventure, Comedy",4.9,,Maurice Joyce,3437.0,19.42
278,Shaun the Sheep Movie,2015.0,PG,85,"Animation, Adventure, Comedy",7.3,81.0,Mark Burton,42188.0,19.38
279,Karigurashi no Arietti,2010.0,U,94,"Animation, Adventure, Drama",7.6,80.0,Hiromasa Yonebayashi,98011.0,19.2
280,Bedknobs and Broomsticks,1971.0,,117,"Animation, Adventure, Comedy",7.0,59.0,Robert Stevenson,39527.0,18.53
281,DuckTales the Movie: Treasure of the Lost Lamp,1990.0,,74,"Animation, Adventure, Comedy",6.8,,Bob Hathcock,27967.0,18.12
282,Pooh's Heffalump Movie,2005.0,G,68,"Animation, Adventure, Comedy",6.4,64.0,Frank Nissen,8055.0,18.1
283,Gekijô-ban poketto monsutâ: Kesshô-tô no teiô,2000.0,G,93,"Animation, Action, Adventure",5.8,,Kunihiko Yuyama,14726.0,17.05
284,Norm of the North,2016.0,U,88,"Animation, Adventure, Comedy",3.4,21.0,Trevor Wall,9748.0,17.02
285,Missing Link,2019.0,P13,93,"Animation, Adventure, Comedy",6.7,68.0,Chris Butler,27779.0,16.65
286,Happily N'Ever After,2006.0,PG,75,"Animation, Adventure, Comedy",4.5,28.0,Paul Bolger,10931.0,15.59
287,Arthur et les Minimoys,2006.0,U,94,"Animation, Adventure, Comedy",6.0,39.0,Luc Besson,39433.0,15.13
288,Gake no ue no Ponyo,2008.0,U,101,"Animation, Adventure, Comedy",7.6,86.0,Hayao Miyazaki,152737.0,15.09
289,The Adventures of Pinocchio,1984.0,,98,"Animation, Family",5.2,,Ippei Kuri,99.0,14.76
290,Fly Me to the Moon,2007.0,G,84,"Animation, Adventure, Family",4.5,36.0,Ben Stassen,4688.0,14.53
291,Everyone's Hero,2006.0,,87,"Animation, Adventure, Comedy",5.7,51.0,Colin Brady,9327.0,14.52
292,The Wonderful World of the Brothers Grimm,1962.0,,135,"Animation, Adventure, Biography",6.4,,Henry Levin,2043.0,14.17
293,Cool World,1992.0,PG-13,102,"Animation, Comedy, Fantasy",4.8,28.0,Ralph Bakshi,24153.0,14.11
294,Hey Arnold! The Movie,2002.0,U,76,"Animation, Adventure, Comedy",5.9,47.0,Tuck Tucker,7587.0,13.68
295,The Pagemaster,1994.0,,80,"Animation, Adventure, Comedy",6.1,,Pixote Hunt,24656.0,13.67
296,Osmosis Jones,2001.0,PG,95,"Animation, Action, Adventure",6.3,57.0,Bobby Farrelly,37606.0,13.6
297,A Boy Named Charlie Brown,1969.0,,86,"Animation, Comedy, Drama",7.3,,Bill Melendez,5351.0,13.08
298,One Piece Film Red,2022.0,PG-13,115,"Animation, Action, Adventure",6.6,69.0,Gorô Taniguchi,11997.0,12.78
299,The Pirates Who Don't Do Anything: A VeggieTales Movie,2008.0,G,85,"Animation, Adventure, Comedy",5.6,49.0,Mike Nawrocki,3003.0,12.7
300,Strange Magic,2015.0,PG,99,"Animation, Adventure, Comedy",5.7,25.0,Gary Rydstrom,11806.0,12.43
301,The King and I,1999.0,,88,"Animation, Family, Fantasy",4.3,29.0,Richard Rich,4205.0,11.96
302,Rock-A-Doodle,1991.0,,74,"Animation, Adventure, Comedy",6.0,,Don Bluth,10140.0,11.66
303,The Powerpuff Girls Movie,2002.0,U,73,"Animation, Action, Adventure",6.5,65.0,Craig McCracken,10633.0,11.41
304,Thumbelina,1994.0,,86,"Animation, Adventure, Family",6.2,,Don Bluth,17991.0,11.37
305,Balto,1995.0,U,78,"Animation, Adventure, Drama",7.1,,Simon Wells,46209.0,11.35
306,La flûte à six schtroumpfs,1976.0,,90,"Animation, Comedy, Family",5.9,,Peyo,1398.0,11.23
307,Jetsons: The Movie,1990.0,,82,"Animation, Comedy, Family",5.5,46.0,Joseph Barbera,5519.0,10.9
308,Welcome to Marwen,2018.0,PG-13,116,"Animation, Biography, Comedy",6.2,40.0,Robert Zemeckis,25093.0,10.76
309,Hoodwinked Too! Hood vs. Evil,2011.0,PG,87,"Animation, Adventure, Comedy",4.7,20.0,Mike Disa,13604.0,10.14
310,The Secret of NIMH,1982.0,U,82,"Animation, Adventure, Drama",7.5,76.0,Don Bluth,43284.0,10.14
311,Sen to Chihiro no kamikakushi,2001.0,U,125,"Animation, Adventure, Family",8.6,96.0,Hayao Miyazaki,799543.0,10.06
312,Once Upon a Forest,1993.0,U,71,"Animation, Adventure, Drama",6.4,,Charles Grosvenor,5865.0,10.0
313,The Swan Princess,1994.0,,93,"Animation, Adventure, Comedy",6.4,70.0,Richard Rich,26210.0,9.77
314,Digimon: The Movie,2000.0,U,82,"Animation, Action, Adventure",6.0,20.0,Bob Buchholz,7705.0,9.63
315,Rock Dog,2016.0,PG,90,"Animation, Adventure, Comedy",5.9,48.0,Ash Brannon,5770.0,9.42
316,We're Back! A Dinosaur's Story,1993.0,,72,"Animation, Adventure, Comedy",6.0,,Phil Nibbelink,15646.0,9.32
317,Un gallo con muchos huevos,2015.0,PG-13,98,"Animation, Adventure, Comedy",5.7,,Gabriel Riva Palacio Alatriste,1146.0,9.07
318,Wizards,1977.0,,82,"Animation, Adventure, Fantasy",6.3,,Ralph Bakshi,12475.0,9.0
319,All Dogs Go to Heaven 2,1996.0,U,82,"Animation, Adventure, Family",5.5,,Larry Leker,6412.0,8.62
320,Ratchet & Clank,2016.0,U,94,"Animation, Action, Adventure",5.5,29.0,Kevin Munroe,11476.0,8.55
321,Care Bears Movie II: A New Generation,1986.0,,76,"Animation, Adventure, Comedy",5.4,39.0,Dale Schott,2429.0,8.54
322,Legends of Oz: Dorothy's Return,2013.0,PG,88,"Animation, Adventure, Family",5.0,25.0,Will Finn,6156.0,8.46
323,Bebe's Kids,1992.0,PG-13,70,"Animation, Comedy, Fantasy",5.8,,Bruce W. Smith,5378.0,8.44
324,Early Man,2018.0,PG,89,"Animation, Adventure, Comedy",6.1,68.0,Nick Park,23052.0,8.27
325,Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F',2015.0,,93,"Animation, Action, Adventure",7.2,,Tadayoshi Yamamuro,23226.0,8.01
326,Robinson Crusoe,2016.0,PG,91,"Animation, Adventure, Comedy",5.3,36.0,Vincent Kesteloot,6482.0,7.97
327,Tenki no ko,2019.0,P13,112,"Animation, Drama, Fantasy",7.5,72.0,Makoto Shinkai,49341.0,7.8
328,The Secret of the Sword,1985.0,,100,"Animation, Action, Adventure",7.2,31.0,Ed Friedman,3140.0,7.66
329,The Magic Roundabout,2005.0,,85,"Animation, Adventure, Comedy",5.2,,Dave Borthwick,3576.0,7.42
330,Doogal,2006.0,,85,"Animation, Adventure, Comedy",2.8,23.0,Dave Borthwick,5296.0,7.38
331,Gulliver's Travels,1939.0,,76,"Animation, Adventure, Comedy",6.6,,Dave Fleischer,4642.0,7.13
332,Les triplettes de Belleville,2003.0,U,80,"Animation, Adventure, Comedy",7.7,91.0,Sylvain Chomet,55962.0,7.0
333,The Chipmunk Adventure,1987.0,,78,"Animation, Adventure, Comedy",7.1,,Janice Karman,5759.0,6.8
334,Loving Vincent,2017.0,PG-13,94,"Animation, Drama, Mystery",7.8,62.0,DK Welchman,60868.0,6.74
335,Here Come the Littles,1985.0,,72,"Animation, Adventure, Family",6.8,,Bernard Deyriès,256.0,6.57
336,Teacher's Pet,2004.0,PG,73,"Animation, Adventure, Comedy",5.7,74.0,Timothy Björklund,1887.0,6.49
337,The Last Unicorn,1982.0,U,92,"Animation, Adventure, Drama",7.3,70.0,Jules Bass,28321.0,6.46
338,American Pop,1981.0,,96,"Animation, Drama, History",7.1,57.0,Ralph Bakshi,5279.0,6.0
339,Urfin Dzhyus i ego derevyannye soldaty,2017.0,,91,"Animation, Adventure, Family",4.7,,Fyodor Dmitriev,340.0,5.97
340,My Little Pony: The Movie,1986.0,,86,"Animation, Adventure, Family",5.9,23.0,Mike Joens,2802.0,5.96
341,The Transformers: The Movie,1986.0,U,84,"Animation, Action, Adventure",7.2,43.0,Nelson Shin,41051.0,5.85
342,Marcel the Shell with Shoes On,2021.0,PG,90,"Animation, Comedy, Drama",7.7,80.0,Dean Fleischer Camp,20248.0,5.79
343,Boku no hîrô akademia THE MOVIE ~ 2-ri no eiyû ~,2018.0,PG-13,96,"Animation, Action, Adventure",7.3,,Kenji Nagasaki,11657.0,5.75
344,Orlando,2011.0,,80,Animation,4.4,,Fulvio Ottaviano,16.0,5.74
345,Batman: Mask of the Phantasm,1993.0,PG,76,"Animation, Action, Adventure",7.8,65.0,Kevin Altieri,54039.0,5.62
346,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007.0,(Banned),86,"Animation, Action, Adventure",6.7,54.0,Matt Maiellaro,14326.0,5.52
347,A Scanner Darkly,2006.0,18PL,100,"Animation, Comedy, Crime",7.0,73.0,Richard Linklater,114927.0,5.5
348,Monkeybone,2001.0,U,93,"Animation, Comedy, Fantasy",4.8,40.0,Henry Selick,18723.0,5.41
349,Charlotte's Web,1973.0,,94,"Animation, Adventure, Drama",6.9,73.0,Charles Nichols,21985.0,5.23
350,Kaze tachinu,2013.0,P13,126,"Animation, Biography, Drama",7.7,83.0,Hayao Miyazaki,91491.0,5.21
351,Heidi's Song,1982.0,,94,"Animation, Adventure, Drama",6.2,,Robert Taylor,320.0,5.12
352,Kimi no na wa.,2016.0,P13,106,"Animation, Drama, Fantasy",8.4,81.0,Makoto Shinkai,292729.0,5.02
353,Rainbow Brite and the Star Stealer,1985.0,,85,"Animation, Adventure, Family",6.7,,Bernard Deyriès,1331.0,4.89
354,"Hey There, It's Yogi Bear",1964.0,G,89,"Animation, Adventure, Comedy",6.5,,Joseph Barbera,1089.0,4.84
355,Hauru no ugoku shiro,2004.0,U,119,"Animation, Adventure, Family",8.2,82.0,Hayao Miyazaki,417772.0,4.71
356,Persepolis,2007.0,PG-13,96,"Animation, Biography, Drama",8.0,90.0,Vincent Paronnaud,97570.0,4.45
357,The Pebble and the Penguin,1995.0,U,74,"Animation, Adventure, Comedy",5.5,,Don Bluth,5339.0,3.98
358,Batman: The Killing Joke,2016.0,R,76,"Animation, Action, Crime",6.4,,Sam Liu,59711.0,3.78
359,Anomalisa,2015.0,R,90,"Animation, Comedy, Drama",7.3,88.0,Duke Johnson,73877.0,3.76
360,Ne Zha zhi mo tong jiang shi,2019.0,P13,110,"Animation, Action, Adventure",7.4,54.0,Yu Yang,8129.0,3.7
361,Cats Don't Dance,1997.0,,75,"Animation, Comedy, Family",6.9,62.0,Mark Dindal,8103.0,3.56
362,Tom and Jerry: The Movie,1992.0,U,84,"Animation, Adventure, Comedy",5.4,,Phil Roman,11641.0,3.56
363,Starchaser: The Legend of Orin,1985.0,,100,"Animation, Action, Adventure",6.4,,Steven Hahn,2378.0,3.36
364,Happily Ever After,1989.0,,75,"Animation, Family, Fantasy",5.5,,John Howley,2520.0,3.3
365,Pinocchio and the Emperor of the Night,1987.0,,87,"Animation, Adventure, Family",6.3,,Hal Sutherland,711.0,3.26
366,"Race for Your Life, Charlie Brown",1977.0,,76,"Animation, Adventure, Comedy",7.2,55.0,Bill Melendez,3792.0,3.22
367,Sgt. Stubby: An American Hero,2018.0,PG,84,"Animation, Adventure, Family",6.9,58.0,Richard Lanni,2445.0,3.14
368,Clifford's Really Big Movie,2004.0,G,74,"Animation, Adventure, Comedy",5.4,49.0,Robert C. Ramirez,1027.0,2.92
369,Waking Life,2001.0,R,99,"Animation, Drama, Fantasy",7.7,84.0,Richard Linklater,65778.0,2.89
370,The Care Bears Adventure in Wonderland,1987.0,,80,"Animation, Adventure, Comedy",5.7,39.0,Raymond Jafelice,1251.0,2.61
371,Dragon Ball Z: Doragon bôru Z - Kami to Kami,2013.0,,85,"Animation, Action, Adventure",7.1,,Masahiro Hosoda,29060.0,2.55
372,Meari to majo no hana,2017.0,PG,103,"Animation, Adventure, Family",6.8,74.0,Hiromasa Yonebayashi,15308.0,2.42
373,Pokémon the Movie: I Choose You,2017.0,U,98,"Animation, Action, Adventure",6.3,,Kunihiko Yuyama,7204.0,2.4
374,Mononoke-hime,1997.0,U,134,"Animation, Action, Adventure",8.3,76.0,Hayao Miyazaki,410956.0,2.38
375,Vals Im Bashir,2008.0,(Banned),90,"Documentary, Animation, Biography",8.0,91.0,Ari Folman,59230.0,2.28
376,L'illusionniste,2010.0,PG,80,"Animation, Drama, Fantasy",7.5,82.0,Sylvain Chomet,35959.0,2.23
377,Heathcliff: The Movie,1986.0,,73,"Family, Animation, Comedy",5.1,,Bruno Bianchi,289.0,2.19
378,Scoob!,2020.0,U,93,"Animation, Adventure, Comedy",5.6,43.0,Tony Cervone,28687.0,2.19
379,The Princess and the Goblin,1991.0,,82,"Animation, Adventure, Comedy",6.7,,József Gémes,2995.0,2.14
380,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980.0,,75,"Animation, Adventure, Comedy",7.1,68.0,Bill Melendez,3401.0,2.01
381,Racetime,2018.0,PG,89,"Animation, Adventure, Musical",5.5,,Benoît Godbout,560.0,1.87
382,The Nutcracker Prince,1990.0,,75,"Animation, Adventure, Family",6.8,,Paul Schibli,2550.0,1.78
383,Poketto monsutâ: Serebî - Toki wo koeta deai,2001.0,G,75,"Animation, Action, Adventure",5.7,,Kunihiko Yuyama,9024.0,1.73
384,Astérix: Le domaine des dieux,2014.0,,85,"Animation, Adventure, Comedy",6.9,,Louis Clichy,14803.0,1.66
385,Terra,2007.0,PG,90,"Animation, Action, Adventure",6.5,54.0,Aristomenis Tsirbas,12055.0,1.65
386,Dumbo,1941.0,G,64,"Animation, Adventure, Drama",7.2,96.0,Samuel Armstrong,137452.0,1.6
387,Vincent,1987.0,,105,"Animation, Biography, Drama",7.5,,Paul Cox,437.0,1.58
388,Kaguya-hime no monogatari,2013.0,P13,137,"Animation, Drama, Family",8.0,89.0,Isao Takahata,50319.0,1.51
389,Genesis: Paradise Lost,2017.0,PG,130,"Documentary, Animation",4.9,,Ralph Strean,754.0,1.44
390,Little Nemo,1989.0,,85,"Animation, Adventure, Comedy",7.1,,Masami Hata,7941.0,1.37
391,The Oscar Nominated Short Films: Animation,2011.0,,85,Animation,6.9,,Geefwee Boedoe,42.0,1.35
392,Heavy Traffic,1973.0,,77,"Animation, Comedy, Drama",6.5,,Ralph Bakshi,3530.0,1.34
393,Le Petit Prince,2015.0,PG,108,"Animation, Adventure, Drama",7.7,70.0,Mark Osborne,64624.0,1.34
394,GoBots: Battle of the Rock Lords,1986.0,,75,"Animation, Action, Adventure",5.4,30.0,Don Lusk,532.0,1.34
395,Babar: The Movie,1989.0,,70,"Animation, Adventure, Family",6.3,,Alan Bunce,1065.0,1.31
396,One Piece: Stampede,2019.0,,101,"Animation, Action, Adventure",7.5,,Takashi Ôtsuka,7043.0,1.3
397,Astérix: Le secret de la potion magique,2018.0,,87,"Animation, Adventure, Comedy",6.7,,Alexandre Astier,10694.0,1.27
398,Freddie as F.R.O.7.,1992.0,,91,"Animation, Adventure, Comedy",5.1,,Jon Acevski,781.0,1.12
399,Tonari no Totoro,1988.0,U,86,"Animation, Comedy, Family",8.1,86.0,Hayao Miyazaki,356948.0,1.11
400,The Nine Lives of Fritz the Cat,1974.0,,77,"Animation, Comedy",5.3,,Robert Taylor,2914.0,1.09
401,Alice in Wonderland,1951.0,U,75,"Animation, Adventure, Comedy",7.3,68.0,Clyde Geronimi,148335.0,1.07
402,The Adventures of the American Rabbit,1986.0,,85,"Animation, Family, Fantasy",5.3,,Nobutaka Nishizawa,491.0,1.05
403,Inosensu: Innocence,2004.0,PG-13,100,"Animation, Drama, Mystery",7.4,66.0,Mamoru Oshii,39483.0,1.04
404,Yu-Gi-Oh!: The Dark Side of Dimensions,2016.0,P13,130,"Animation, Adventure, Drama",6.9,,Satoshi Kuwabara,3320.0,1.02
405,Kokuriko-zaka kara,2011.0,U,91,"Animation, Comedy, Drama",7.4,71.0,Gorô Miyazaki,47994.0,1.0
406,Cowboy Bebop: Tengoku no tobira,2001.0,18SG,115,"Animation, Action, Crime",7.8,61.0,Shin'ichirô Watanabe,50988.0,1.0
407,Yellow Submarine,1968.0,,88,"Animation, Adventure, Comedy",7.4,79.0,George Dunning,27292.0,0.99
408,The Ten Commandments,2007.0,PG,88,"Animation, Family, History",2.9,25.0,Bill Boyce,2486.0,0.95
409,The Lord of the Rings,1978.0,U,132,"Animation, Adventure, Fantasy",6.2,,Ralph Bakshi,34771.0,0.92
410,La tortue rouge,2016.0,U,80,"Animation, Drama, Family",7.5,86.0,Michael Dudok de Wit,36967.0,0.92
411,Paprika,2006.0,R,90,"Animation, Drama, Fantasy",7.7,81.0,Satoshi Kon,88792.0,0.88
412,The Reluctant Dragon,1941.0,,74,"Animation, Comedy, Family",6.8,,Alfred L. Werker,3604.0,0.87
413,Song of the Sea,2014.0,PG,93,"Animation, Adventure, Drama",8.0,85.0,Tomm Moore,61075.0,0.86
414,The Adventures of Mark Twain,1985.0,U,86,"Animation, Adventure, Family",7.2,,Will Vinton,3239.0,0.85
415,Shin Evangelion Gekijôban,2021.0,,154,"Animation, Action, Drama",8.0,84.0,Mahiro Maeda,12461.0,0.83
416,Mirai no Mirai,2018.0,U,98,"Animation, Adventure, Drama",7.0,81.0,Mamoru Hosoda,17171.0,0.81
417,Victory Through Air Power,1943.0,,70,"Documentary, Animation, History",6.5,,James Algar,1116.0,0.8
418,Gekijouban Poketto monsutâ: Minna no Monogatari,2018.0,,100,"Animation, Action, Adventure",6.2,,Tetsuo Yajima,2818.0,0.79
419,Pippi Longstocking,1997.0,,76,"Animation, Adventure, Comedy",5.2,,Michael Schaack,1600.0,0.78
420,Pâfekuto burû,1997.0,18,81,"Animation, Crime, Drama",8.0,67.0,Satoshi Kon,85688.0,0.78
421,Asterix in America,1994.0,,85,"Animation, Adventure, Comedy",5.9,,Gerhard Hahn,8084.0,0.77
422,Omoide no Marnie,2014.0,P13,103,"Animation, Drama, Family",7.7,72.0,Hiromasa Yonebayashi,44298.0,0.77
423,Fire and Ice,1983.0,U,81,"Animation, Adventure, Fantasy",6.5,45.0,Ralph Bakshi,11816.0,0.76
424,Gekijô-ban poketto monsutaa: Mizu no Miyako no Mamori Gami Ratiasu to Ratiosu,2002.0,,80,"Animation, Action, Adventure",6.0,27.0,Jim Malone,6549.0,0.75
425,Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,2016.0,,134,Animation,8.5,,Harry Baweja,821.0,0.69
426,The Secret of Kells,2009.0,U,71,"Animation, Adventure, Family",7.5,81.0,Tomm Moore,37140.0,0.69
427,The Thief and the Cobbler,1993.0,,99,"Animation, Action, Adventure",7.1,,Richard Williams,4380.0,0.67
428,Kochadaiiyaan,2014.0,,118,"Animation, Action, Adventure",6.2,,Soundarya Rajinikanth Vishagan,5252.0,0.66
429,Metoroporisu,2001.0,U,108,"Animation, Adventure, Drama",7.2,75.0,Rintarô,22094.0,0.64
430,The Pilgrim's Progress,2019.0,PG,108,"Animation, Adventure, Family",6.3,,Robert Fernandez,800.0,0.62
431,Ozu no mahôtsukai,1982.0,,78,"Animation, Family, Adventure",6.6,,Fumihiko Takayama,418.0,0.61
432,Invitation to the Dance,1956.0,,93,"Animation, Fantasy, Musical",6.4,,Gene Kelly,962.0,0.6
433,El gran milagro,2011.0,PG,70,"Animation, Drama",4.6,,Bruce Morris,392.0,0.56
434,Akira,1988.0,P13,124,"Animation, Action, Drama",8.0,67.0,Katsuhiro Ôtomo,195554.0,0.55
435,"Uchiage hanabi, shita kara miru ka? Yoko kara miru ka?",2017.0,,90,"Animation, Drama, Fantasy",5.5,40.0,Akiyuki Shinbô,3605.0,0.53
436,Code Geass: Fukkatsu No Lelouch,2019.0,Not Rated,112,"Animation, Action, Adventure",7.3,,Gorô Taniguchi,3162.0,0.52
437,Kôkaku kidôtai,1995.0,,83,"Animation, Action, Crime",7.9,76.0,Mamoru Oshii,149805.0,0.52
438,Delgo,2008.0,PG,94,"Animation, Adventure, Comedy",4.3,27.0,Marc F. Adler,3125.0,0.51
439,Pound Puppies and the Legend of Big Paw,1988.0,,76,"Animation, Adventure, Comedy",4.7,,Pierre DeCelles,676.0,0.5
440,Kaze no tani no Naushika,1984.0,U,117,"Animation, Adventure, Sci-Fi",8.0,86.0,Hayao Miyazaki,175345.0,0.5
441,Bilal: A New Breed of Hero,2015.0,PG-13,105,"Animation, Action, Adventure",7.6,52.0,Khurram H. Alavi,18972.0,0.49
442,Romeo & Juliet: Sealed with a Kiss,2005.0,G,76,"Animation, Comedy, Drama",3.6,,Phil Nibbelink,404.0,0.46
443,Omohide poro poro,1991.0,U,119,"Animation, Drama, Romance",7.6,90.0,Isao Takahata,34892.0,0.45
444,Gary Come Home,2019.0,,78,"Animation, Action, Comedy",,,John Millies,,0.45
445,Condorito: La Película,2017.0,PG,88,"Animation, Adventure, Comedy",5.2,,Alex Orrelle,931.0,0.45
446,Bakemono no ko,2015.0,PG-13,119,"Animation, Action, Adventure",7.6,65.0,Mamoru Hosoda,25623.0,0.45
447,Suchîmubôi,2004.0,PG-13,126,"Animation, Action, Adventure",6.8,66.0,Katsuhiro Ôtomo,18274.0,0.41
448,Yoru wa mijikashi aruke yo otome,2017.0,,92,"Animation, Adventure, Comedy",7.5,65.0,Masaaki Yuasa,5816.0,0.41
449,Puella Magi Madoka Magica: The Movie 3: Rebelion,2013.0,,116,"Animation, Drama, Fantasy",7.8,,Yukihiro Miyamoto,3892.0,0.38
450,Gandahar,1987.0,,78,"Animation, Adventure, Fantasy",7.0,,René Laloux,5116.0,0.37
451,Chico & Rita,2010.0,,94,"Animation, Crime, Drama",7.2,76.0,Tono Errando,9484.0,0.35
