,Title,Year,Certificate,Runtime,Genre,IMDB,Metascore,Director,Votes,Gross
50,Madagascar,(2005),U,86 min,"Animation, Adventure, Comedy",6.9,57        ,Eric Darnell,"420,713",$193.60M
51,Toy Story,(1995),U,81 min,"Animation, Adventure, Comedy",8.3,96        ,John Lasseter,"1,027,726",$191.80M
52,Cars 2,(2011),U,106 min,"Animation, Adventure, Comedy",6.2,57        ,John Lasseter,"204,159",$191.45M
53,Spider-Man: Into the Spider-Verse,(2018),P13,117 min,"Animation, Action, Adventure",8.4,87        ,Bob Persichetti,"611,900",$190.24M
54,Wreck-It Ralph,(2012),U,101 min,"Animation, Adventure, Comedy",7.7,72        ,Rich Moore,"441,123",$189.42M
55,The Croods,(2013),P13,98 min,"Animation, Action, Adventure",7.2,55        ,Kirk DeMicco,"224,289",$187.17M
56,Snow White and the Seven Dwarfs,(1937),U,83 min,"Animation, Adventure, Family",7.6,96        ,William Cottrell,"207,602",$184.93M
57,The Polar Express,(2004),U,100 min,"Animation, Adventure, Comedy",6.6,61        ,Robert Zemeckis,"224,108",$183.37M
58,The Simpsons Movie,(2007),P13,87 min,"Animation, Adventure, Comedy",7.3,80        ,David Silverman,"340,651",$183.14M
59,Madagascar: Escape 2 Africa,(2008),U,89 min,"Animation, Adventure, Comedy",6.6,61        ,Eric Darnell,"238,250",$180.01M
60,Home,(II) (2015),PG,94 min,"Animation, Adventure, Comedy",6.5,55        ,Tim Johnson,"107,795",$177.40M
61,How to Train Your Dragon 2,(2014),P13,102 min,"Animation, Action, Adventure",7.8,77        ,Dean DeBlois,"350,585",$177.00M
62,Ice Age,(2002),U,81 min,"Animation, Adventure, Comedy",7.5,61        ,Chris Wedge,"499,799",$176.39M
63,The Lego Batman Movie,(2017),U,104 min,"Animation, Action, Adventure",7.3,75        ,Chris McKay,"163,539",$175.75M
64,The Boss Baby,(2017),U,97 min,"Animation, Adventure, Comedy",6.3,50        ,Tom McGrath,"134,903",$175.00M
65,Tarzan,(1999),U,88 min,"Animation, Adventure, Comedy",7.3,79        ,Chris Buck,"237,264",$171.09M
66,Hotel Transylvania 2,(2015),P13,89 min,"Animation, Adventure, Comedy",6.6,44        ,Genndy Tartakovsky,"135,601",$169.70M
67,Puss in Boots: The Last Wish,(2022),PG,102 min,"Animation, Adventure, Comedy",7.9,73        ,Joel Crawford,"143,329",$168.46M
68,Hotel Transylvania 3: Summer Vacation,(2018),P13,97 min,"Animation, Adventure, Comedy",6.3,54        ,Genndy Tartakovsky,"80,000",$167.51M
69,Kung Fu Panda 2,(2011),U,90 min,"Animation, Action, Adventure",7.2,67        ,Jennifer Yuh Nelson,"301,657",$165.25M
70,The SpongeBob Movie: Sponge Out of Water,(2015),P13,92 min,"Animation, Adventure, Comedy",6.0,62        ,Paul Tibbitt,"58,706",$162.99M
71,A Bug's Life,(1998),,95 min,"Animation, Adventure, Comedy",7.2,77        ,John Lasseter,"304,085",$162.80M
72,Sing 2,(2021),PG,110 min,"Animation, Adventure, Comedy",7.4,49        ,Garth Jennings,"77,162",$162.79M
73,Ice Age: Continental Drift,(2012),U,88 min,"Animation, Adventure, Comedy",6.5,49        ,Steve Martino,"217,477",$161.32M
74,Shark Tale,(2004),U,90 min,"Animation, Adventure, Comedy",6.0,48        ,Bibo Bergeron,"191,966",$160.86M
75,How to Train Your Dragon: The Hidden World,(2019),P13,104 min,"Animation, Action, Adventure",7.4,71        ,Dean DeBlois,"140,463",$160.80M
76,The Secret Life of Pets 2,(2019),U,86 min,"Animation, Adventure, Comedy",6.4,55        ,Chris Renaud,"65,991",$158.87M
77,Who Framed Roger Rabbit,(1988),U,104 min,"Animation, Adventure, Comedy",7.7,83        ,Robert Zemeckis,"209,622",$156.45M
78,Over the Hedge,(2006),U,83 min,"Animation, Adventure, Comedy",6.7,67        ,Tim Johnson,"183,828",$155.02M
79,Horton Hears a Who!,(2008),U,86 min,"Animation, Adventure, Comedy",6.8,71        ,Jimmy Hayward,"146,325",$154.53M
80,Trolls,(2016),P13,92 min,"Animation, Adventure, Comedy",6.4,55        ,Mike Mitchell,"86,735",$153.71M
81,Cars 3,(2017),U,102 min,"Animation, Adventure, Comedy",6.7,59        ,Brian Fee,"111,083",$152.90M
82,Puss in Boots,(2011),U,90 min,"Animation, Adventure, Comedy",6.6,65        ,Chris Miller,"183,816",$149.26M
83,Megamind,(2010),U,95 min,"Animation, Action, Comedy",7.3,63        ,Tom McGrath,"279,862",$148.42M
84,Hotel Transylvania,(2012),U,91 min,"Animation, Adventure, Comedy",7.0,47        ,Genndy Tartakovsky,"268,384",$148.31M
85,Lilo & Stitch,(2002),U,85 min,"Animation, Adventure, Comedy",7.3,74        ,Dean DeBlois,"202,032",$145.79M
86,One Hundred and One Dalmatians,(1961),U,79 min,"Animation, Adventure, Comedy",7.3,83        ,Clyde Geronimi,"175,405",$144.88M
87,Rio,(2011),U,96 min,"Animation, Adventure, Comedy",6.9,63        ,Carlos Saldanha,"238,916",$143.62M
88,Kung Fu Panda 3,(2016),U,95 min,"Animation, Action, Adventure",7.1,66        ,Alessandro Carloni,"172,620",$143.53M
89,The Smurfs,(2011),U,103 min,"Animation, Adventure, Comedy",5.4,30        ,Raja Gosnell,"93,861",$142.61M
90,The Jungle Book,(1967),U,78 min,"Animation, Adventure, Comedy",7.6,65        ,Wolfgang Reitherman,"191,569",$141.84M
91,Pocahontas,(I) (1995),G,81 min,"Animation, Adventure, Drama",6.7,58        ,Mike Gabriel,"195,788",$141.60M
92,A Christmas Carol,(2009),U,96 min,"Animation, Adventure, Comedy",6.8,55        ,Robert Zemeckis,"123,050",$137.86M
93,Dinosaur,(2000),U,82 min,"Animation, Adventure, Drama",6.4,56        ,Eric Leighton,"64,560",$137.75M
94,Chicken Little,(2005),U,81 min,"Animation, Adventure, Comedy",5.7,48        ,Mark Dindal,"97,258",$135.39M
95,Alvin and the Chipmunks: Chipwrecked,(2011),U,87 min,"Animation, Adventure, Comedy",4.3,24        ,Mike Mitchell,"37,739",$133.11M
96,Rio 2,(2014),U,101 min,"Animation, Adventure, Comedy",6.3,49        ,Carlos Saldanha,"96,058",$131.54M
97,The Peanuts Movie,(2015),U,88 min,"Animation, Adventure, Comedy",7.0,67        ,Steve Martino,"48,164",$130.18M
98,Robots,(2005),U,91 min,"Animation, Adventure, Comedy",6.4,64        ,Chris Wedge,"155,576",$128.20M
99,Enchanted,(2007),U,107 min,"Animation, Adventure, Comedy",7.1,75        ,Kevin Lima,"211,584",$127.81M
100,Bee Movie,(2007),U,91 min,"Animation, Adventure, Comedy",6.1,54        ,Simon J. Smith,"171,777",$126.63M
101,Cloudy with a Chance of Meatballs,(2009),U,90 min,"Animation, Adventure, Comedy",6.9,66        ,Phil Lord,"246,504",$124.87M
102,Rango,(2011),U,107 min,"Animation, Action, Adventure",7.2,75        ,Gore Verbinski,"281,386",$123.48M
103,The Good Dinosaur,(2015),P13,93 min,"Animation, Adventure, Comedy",6.7,66        ,Peter Sohn,"122,054",$123.09M
104,Mulan,(1998),,87 min,"Animation, Adventure, Comedy",7.6,71        ,Tony Bancroft,"302,265",$120.62M
105,Cloudy with a Chance of Meatballs 2,(2013),PG,95 min,"Animation, Adventure, Comedy",6.3,59        ,Cody Cameron,"109,825",$119.79M
106,G-Force,(2009),U,88 min,"Animation, Action, Adventure",5.1,41        ,Hoyt Yeatman,"48,539",$119.44M
107,Lightyear,(2022),(Banned),105 min,"Animation, Action, Adventure",6.1,60        ,Angus MacLane,"116,230",$118.31M
108,Bolt,(2008),U,96 min,"Animation, Adventure, Comedy",6.8,67        ,Byron Howard,"220,776",$114.05M
109,The Little Mermaid,(1989),U,83 min,"Animation, Adventure, Family",7.6,88        ,Ron Clements,"279,943",$111.54M
110,Mr. Peabody & Sherman,(2014),U,92 min,"Animation, Adventure, Comedy",6.8,59        ,Rob Minkoff,"74,845",$111.51M
111,Hop,(2011),U,95 min,"Animation, Adventure, Comedy",5.4,41        ,Tim Hill,"35,991",$108.09M
112,Epic,(2013),P13,102 min,"Animation, Action, Adventure",6.6,52        ,Chris Wedge,"107,962",$107.52M
113,Angry Birds,(2016),P13,97 min,"Animation, Action, Adventure",6.3,43        ,Clay Kaytis,"98,979",$107.51M
114,Chicken Run,(2000),U,84 min,"Animation, Adventure, Comedy",7.1,88        ,Peter Lord,"200,660",$106.83M
115,The Lego Movie 2: The Second Part,(2019),U,107 min,"Animation, Action, Adventure",6.6,65        ,Mike Mitchell,"72,599",$105.81M
116,The Princess and the Frog,(2009),U,97 min,"Animation, Adventure, Comedy",7.1,73        ,Ron Clements,"156,669",$104.40M
117,Rise of the Guardians,(2012),U,97 min,"Animation, Action, Adventure",7.2,58        ,Peter Ramsey,"185,151",$103.41M
118,Bambi,(1942),U,69 min,"Animation, Adventure, Drama",7.3,91        ,James Algar,"149,028",$102.80M
119,The Prince of Egypt,(1998),(Banned),99 min,"Animation, Adventure, Drama",7.2,64        ,Brenda Chapman,"139,621",$101.22M
120,The Rugrats Movie,(1998),U,79 min,"Animation, Adventure, Comedy",5.9,62        ,Igor Kovalyov,"20,144",$100.49M
121,Yogi Bear,(2010),U,81 min,"Animation, Adventure, Comedy",4.6,35        ,Eric Brevig,"22,865",$100.25M
122,The Hunchback of Notre Dame,(1996),U,91 min,"Animation, Drama, Family",7.0,74        ,Gary Trousdale,"165,359",$100.14M
123,The Addams Family,(2019),P13,86 min,"Animation, Comedy, Family",5.8,46        ,Greg Tiernan,"43,012",$100.04M
124,Gnomeo & Juliet,(2011),U,84 min,"Animation, Adventure, Comedy",5.9,53        ,Kelly Asbury,"57,910",$99.97M
125,Hercules,(1997),,93 min,"Animation, Adventure, Comedy",7.3,74        ,Ron Clements,"243,686",$99.05M
126,Meet the Robinsons,(2007),U,95 min,"Animation, Adventure, Comedy",6.8,61        ,Stephen J. Anderson,"106,517",$97.82M
127,Sausage Party,(2016),(Banned),89 min,"Animation, Adventure, Comedy",6.1,66        ,Conrad Vernon,"202,398",$97.69M
128,The Bad Guys,(2022),P13,100 min,"Animation, Adventure, Comedy",6.8,64        ,Pierre Perifel,"50,341",$97.23M
129,Encanto,(2021),PG,102 min,"Animation, Comedy, Family",7.2,75        ,Jared Bush,"240,871",$96.09M
130,DC League of Super-Pets,(2022),PG,105 min,"Animation, Action, Adventure",7.1,56        ,Jared Stern,"70,855",$93.66M
131,Lady and the Tramp,(1955),G,76 min,"Animation, Adventure, Comedy",7.3,78        ,Clyde Geronimi,"142,578",$93.60M
132,Antz,(1998),U,83 min,"Animation, Adventure, Comedy",6.5,72        ,Eric Darnell,"160,242",$90.76M
133,Space Jam,(1996),U,88 min,"Animation, Adventure, Comedy",6.5,59        ,Joe Pytka,"205,861",$90.46M
134,Planes,(2013),PG,91 min,"Animation, Adventure, Comedy",5.7,39        ,Klay Hall,"47,186",$90.29M
135,The Emperor's New Groove,(2000),U,78 min,"Animation, Adventure, Comedy",7.4,70        ,Mark Dindal,"215,107",$89.30M
136,Peter Pan,(1953),U,77 min,"Animation, Adventure, Family",7.3,76        ,Clyde Geronimi,"147,507",$87.40M
137,The Emoji Movie,(2017),P13,86 min,"Animation, Adventure, Comedy",3.4,12        ,Tony Leondis,"68,195",$86.09M
138,Alvin and the Chipmunks: The Road Chip,(2015),U,92 min,"Animation, Adventure, Comedy",4.9,33        ,Walt Becker,"21,302",$85.89M
139,Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,(1998),U,96 min,"Animation, Action, Adventure",6.2,35        ,Kunihiko Yuyama,"44,624",$85.74M
140,The SpongeBob SquarePants Movie,(2004),U,87 min,"Animation, Adventure, Comedy",7.1,66        ,Stephen Hillenburg,"97,319",$85.42M
141,Brother Bear,(2003),U,85 min,"Animation, Adventure, Comedy",6.8,48        ,Aaron Blaise,"117,820",$85.34M
142,Open Season,(2006),U,86 min,"Animation, Adventure, Comedy",6.1,49        ,Roger Allers,"101,929",$85.11M
143,Cinderella,(1950),G,74 min,"Animation, Family, Fantasy",7.3,85        ,Clyde Geronimi,"167,829",$85.00M
144,Ferdinand,(2017),U,108 min,"Animation, Adventure, Comedy",6.7,58        ,Carlos Saldanha,"60,820",$84.41M
145,Pinocchio,(1940),U,88 min,"Animation, Adventure, Comedy",7.5,99        ,Norman Ferguson,"153,959",$84.25M
146,Atlantis: The Lost Empire,(2001),U,95 min,"Animation, Action, Adventure",6.9,52        ,Gary Trousdale,"127,634",$84.05M
147,Penguins of Madagascar,(2014),PG,92 min,"Animation, Action, Adventure",6.6,53        ,Eric Darnell,"97,147",$83.35M
148,Smallfoot,(2018),P13,96 min,"Animation, Adventure, Comedy",6.6,60        ,Karey Kirkpatrick,"41,596",$83.24M
149,Turbo,(2013),PG,96 min,"Animation, Adventure, Comedy",6.4,58        ,David Soren,"104,968",$83.03M
150,Beowulf,(2007),U,115 min,"Animation, Action, Adventure",6.3,59        ,Robert Zemeckis,"171,252",$82.16M
151,Jimmy Neutron: Boy Genius,(2001),U,82 min,"Animation, Action, Adventure",6.1,65        ,John A. Davis,"36,698",$80.94M
152,The Adventures of Tintin,(2011),U,107 min,"Animation, Action, Adventure",7.3,68        ,Steven Spielberg,"237,757",$77.59M
